x|y|z|qx|qy|qz|qw|wx|wy|wz|vx|vy|ax|ay|yaw|yawv|yawa|fx|fy|fvx|fvy|fax|fay|fyaw|fyawv|fyawa|steer|gas|brake|Ax|SW||wheelbase|SR|K|v|curv_yawv|SW_yawv|
502.300384|-4.073206|0.512991|0.000134|-0.003567|0.00978|0.999946|0.001643|-0.004162|0.081399|0.50486|0.150887|0.921729|0.326986|0.01956|0.081537|0.14923|502.299262|-4.064885|0.504114|0.150686|0.926181|0.258648|0.019544|0.08136|0.14637|8|0.294088|0|1|8|||||0.526153205437352|0.154631767248042|6.17162108331103|0.052233897859262
502.326793|-4.066769|0.513185|0.00017|-0.003658|0.011914|0.999922|0.000748|-0.003205|0.088881|0.551158|0.167592|0.929703|0.340453|0.023828|0.089026|0.1501|502.325672|-4.05732|0.550957|0.1658|0.93892|0.264874|0.023812|0.088881|0.148211|8|0.297267|0|1|8|||||0.575363585786414|0.154477972182609|6.16565612384906|0.05257527274957
502.355536|-4.059616|0.513312|0.000187|-0.003726|0.014236|0.999892|0.000122|-0.002365|0.096442|0.597793|0.184955|0.935266|0.353631|0.028472|0.096594|0.152604|502.354403|-4.048948|0.598089|0.181743|0.949535|0.270277|0.028457|0.096487|0.150175|8|0.300002|0|1|8|||||0.625092769091117|0.154356288811806|6.16099006466576|0.052843086597782
502.386629|-4.051716|0.513384|0.000195|-0.003776|0.016748|0.999853|-7.1E-05|-0.001679|0.104083|0.644685|0.202934|0.939991|0.365429|0.033496|0.104237|0.152897|502.385469|-4.039737|0.645445|0.198425|0.958557|0.274683|0.033482|0.104142|0.151492|8|0.302361|0|1|8|||||0.675256787192843|0.154225773032117|6.1559888137002|0.053130894612481
502.420085|-4.043039|0.513417|0.000205|-0.00381|0.019451|0.999804|0.000154|-0.001156|0.111759|0.691757|0.221557|0.942106|0.380246|0.038903|0.111913|0.154789|502.418883|-4.029651|0.692957|0.215805|0.966046|0.278644|0.03889|0.111856|0.152903|8|0.304408|0|1|8|||||0.72578316450163|0.154117655893558|6.15189901889685|0.053366831818038
502.455912|-4.03355|0.513426|0.000227|-0.003833|0.022348|0.999743|0.000755|-0.000754|0.119585|0.738874|0.241042|0.942688|0.398228|0.044698|0.119737|0.157084|502.454648|-4.018652|0.740554|0.233934|0.972292|0.282763|0.044686|0.119662|0.15465|8|0.30625|0|1|8|||||0.776624325701944|0.154079644481706|6.15062525032287|0.053440421324115
502.494116|-4.023205|0.513423|0.000266|-0.003847|0.02544|0.999669|0.001359|-0.00047|0.127425|0.786018|0.261424|0.942463|0.417556|0.050885|0.127571|0.156739|502.492769|-4.006695|0.788194|0.252865|0.977798|0.287098|0.050872|0.127501|0.155621|8|0.307888|0|1|8|||||0.827762338996526|0.15403092650309|6.14894199759599|0.053537745754124
502.534696|-4.011956|0.513415|0.000319|-0.003857|0.028729|0.99958|0.001837|-0.000269|0.135302|0.833094|0.282863|0.940474|0.439487|0.057464|0.135446|0.157914|502.533242|-3.993731|0.835819|0.272688|0.982542|0.291973|0.057451|0.135386|0.156623|8|0.309386|0|1|8|||||0.879176970868209|0.153991749654569|6.14765769433415|0.053612062771242
502.577652|-3.999747|0.51341|0.000382|-0.003862|0.032214|0.999473|0.00209|-0.000135|0.143222|0.88004|0.305448|0.937133|0.46367|0.064438|0.143365|0.158894|502.576065|-3.979705|0.883372|0.2935|0.986639|0.297499|0.064425|0.143314|0.157579|8|0.310779|0|1|8|||||0.930853554746395|0.153959770867551|6.14667901897504|0.053668729042302
502.622978|-3.986522|0.513409|0.000449|-0.003864|0.035898|0.999348|0.002125|-5.8E-05|0.151178|0.926805|0.329236|0.933338|0.487341|0.071809|0.151321|0.159176|502.621229|-3.964561|0.930806|0.315375|0.990296|0.303354|0.071795|0.15127|0.158274|8|0.312088|0|1|8|||||0.982782376857155|0.153920138946475|6.14541325112014|0.053742062642512
502.670667|-3.972219|0.513413|0.000516|-0.003865|0.03978|0.999201|0.001978|-3.1E-05|0.159136|0.973361|0.354216|0.928981|0.510908|0.079578|0.159279|0.158782|502.668725|-3.948239|0.978081|0.338358|0.993637|0.309372|0.079563|0.159231|0.158553|8|0.313318|0|1|8|||||1.03495341862569|0.153853301157691|6.14307980864896|0.053877384328862
502.720713|-3.95678|0.513421|0.000577|-0.003866|0.043859|0.99903|0.001713|-5.5E-05|0.167044|1.019689|0.380335|0.923362|0.534733|0.087744|0.16719|0.158664|502.718545|-3.930683|1.025161|0.362458|0.996589|0.315362|0.087728|0.167178|0.15858|8|0.314464|0|1|8|||||1.08735039324268|0.153748047583305|6.13923100063651|0.054100957328003
502.773104|-3.940144|0.513434|0.000635|-0.003867|0.048136|0.998833|0.001651|-6.9E-05|0.175056|1.065667|0.407757|0.915982|0.560933|0.096307|0.175204|0.161398|502.770671|-3.91183|1.071977|0.387737|0.998912|0.321677|0.096292|0.175187|0.159562|8|0.315606|0|1|8|||||1.13994502924395|0.153680217471705|6.13689502427911|0.054236877352437
502.827827|-3.922247|0.513449|0.000694|-0.003868|0.052614|0.998607|0.001676|-8.1E-05|0.183111|1.1113|0.436427|0.909161|0.585682|0.105273|0.183259|0.160511|502.825089|-3.891616|1.118502|0.414215|1.001135|0.327902|0.105257|0.18321|0.159925|8|0.316711|0|1|8|||||1.19273668101094|0.153604733481253|6.13427213678027|0.054389694681164
502.884867|-3.903026|0.513465|0.000755|-0.003869|0.05729|0.99835|0.00181|-7.7E-05|0.191139|1.156547|0.466393|0.900441|0.612695|0.11464|0.191286|0.160986|502.88178|-3.86998|1.164697|0.441927|1.003054|0.334343|0.114623|0.191246|0.160282|8|0.317784|0|1|8|||||1.24572010304803|0.15352244820651|6.13139645924443|0.054557487383192
